,layer,layer_type,mode,prob_letter0,prob_letter1,prob_letter2,prob_letter3,prob_letter4,Let0,Let0Acc,Let1,Let1Acc,Let2,Let2Acc,Let3,Let3Acc,Let4,Let4Acc,Let1Prev,Let1PrevDiff,Let2Prev,Let2PrevDiff,Let3Prev,Let3PrevDiff,Let4Prev,Let4PrevDiff,Let0Next,Let0NextDiff,Let1Next,Let1NextDiff,Let2Next,Let2NextDiff,Let3Next,Let3NextDiff
31,7,mlp,denoising,0.8340479135513306,0.9401724338531494,0.9661124348640442,0.9442736506462097,0.8934831619262695,-4.688202857971191,0.0625,-4.752532958984375,0.1171875,-5.452548980712891,0.0390625,-5.570926189422607,0.0625,-6.191414833068848,0.0859375,-5.893732070922852,1.1411991119384766,-5.646764755249023,0.1942157745361328,-5.048754692077637,-0.5221714973449707,-6.042784690856934,-0.14863014221191406,-4.756250858306885,0.06804800033569336,-5.175100326538086,0.42256736755371094,-5.41522216796875,-0.037326812744140625,-5.849750518798828,0.2788243293762207
32,8,attn,noising,0.8370758891105652,0.9393194317817688,0.9692978858947754,0.9493548274040222,0.8575729131698608,-0.742106556892395,0.96875,-0.895201563835144,0.7421875,-1.0668671131134033,0.6640625,-1.1557791233062744,0.625,-0.7437257766723633,0.84375,-6.156716346740723,5.261514782905579,-6.084103107452393,5.017235994338989,-5.358694553375244,4.20291543006897,-5.802880764007568,5.059154987335205,-4.312117099761963,3.570010542869568,-3.1589341163635254,2.2637325525283813,-3.4874091148376465,2.420542001724243,-3.0742955207824707,1.9185163974761963
33,8,attn,denoising,0.8330986499786377,0.940342903137207,0.9656574726104736,0.9444526433944702,0.8953796029090881,-4.689985275268555,0.0625,-4.7624030113220215,0.125,-5.46497106552124,0.0390625,-5.558195114135742,0.0703125,-6.182232856750488,0.0859375,-5.90385627746582,1.1414532661437988,-5.659846782684326,0.19487571716308594,-5.054392337799072,-0.5038027763366699,-6.021522521972656,-0.16071033477783203,-4.748095512390137,0.05811023712158203,-5.176671981811523,0.41426897048950195,-5.420164108276367,-0.04480695724487305,-5.838513374328613,0.2803182601928711
34,8,mlp,noising,0.8373680114746094,0.9388557076454163,0.9699687361717224,0.9496371150016785,0.85793536901474,-0.740452766418457,0.96875,-0.8945092558860779,0.734375,-1.074597716331482,0.671875,-1.171873688697815,0.6015625,-0.7389541268348694,0.84375,-6.140524864196777,5.2460156083106995,-6.056811332702637,4.982213616371155,-5.356270790100098,4.184397101402283,-5.807727813720703,5.068773686885834,-4.312129974365234,3.5716772079467773,-3.1517655849456787,2.257256329059601,-3.4795641899108887,2.4049664735794067,-3.0667128562927246,1.8948391675949097
35,8,mlp,denoising,0.8319603204727173,0.9404550194740295,0.9649307727813721,0.9446862936019897,0.8960079550743103,-4.697568893432617,0.0625,-4.767112731933594,0.1171875,-5.456089973449707,0.0390625,-5.55994987487793,0.0703125,-6.177880764007568,0.0859375,-5.915189743041992,1.1480770111083984,-5.682902812957764,0.22681283950805664,-5.052153587341309,-0.5077962875366211,-6.018120765686035,-0.1597599983215332,-4.753843307495117,0.0562744140625,-5.186160087585449,0.41904735565185547,-5.428926467895508,-0.02716350555419922,-5.85072135925293,0.290771484375
36,9,attn,noising,0.8375887274742126,0.939376950263977,0.9694186449050903,0.9496197700500488,0.8588345050811768,-0.740300178527832,0.96875,-0.8936878442764282,0.7421875,-1.0681169033050537,0.65625,-1.1550297737121582,0.6171875,-0.7373902797698975,0.859375,-6.159281253814697,5.265593409538269,-6.084480285644531,5.0163633823394775,-5.358947277069092,4.203917503356934,-5.8078203201293945,5.070430040359497,-4.318760871887207,3.578460693359375,-3.1542534828186035,2.2605656385421753,-3.4946861267089844,2.4265692234039307,-3.0704450607299805,1.9154152870178223
37,9,attn,denoising,0.8332537412643433,0.9403469562530518,0.9655263423919678,0.9442750811576843,0.8949559330940247,-4.6956562995910645,0.0625,-4.763673782348633,0.125,-5.4777984619140625,0.0390625,-5.559003829956055,0.0625,-6.184961318969727,0.0859375,-5.9001007080078125,1.1364269256591797,-5.664323806762695,0.1865253448486328,-5.055544376373291,-0.5034594535827637,-6.019819259643555,-0.16514205932617188,-4.750709533691406,0.0550532341003418,-5.180787086486816,0.4171133041381836,-5.426323413848877,-0.05147504806518555,-5.841553688049316,0.2825498580932617
38,9,mlp,noising,0.8366235494613647,0.9391841888427734,0.9697905778884888,0.9498785734176636,0.8579771518707275,-0.741378903388977,0.96875,-0.8966792821884155,0.7265625,-1.075819969177246,0.671875,-1.1531081199645996,0.625,-0.7371993064880371,0.8515625,-6.152674674987793,5.255995392799377,-6.073243141174316,4.99742317199707,-5.346970558166504,4.193862438201904,-5.796586036682129,5.059386730194092,-4.315147399902344,3.5737684965133667,-3.149445056915283,2.2527657747268677,-3.48657488822937,2.410754919052124,-3.065110206604004,1.9120020866394043
39,9,mlp,denoising,0.8337224721908569,0.9404379725456238,0.9654767513275146,0.9439531564712524,0.8950905799865723,-4.691688537597656,0.0625,-4.757805824279785,0.125,-5.468189239501953,0.0390625,-5.548163414001465,0.0703125,-6.1885809898376465,0.0859375,-5.896978378295898,1.1391725540161133,-5.675780773162842,0.20759153366088867,-5.047688007354736,-0.5004754066467285,-6.0447916984558105,-0.14378929138183594,-4.751944065093994,0.06025552749633789,-5.17209529876709,0.4142894744873047,-5.428299427032471,-0.03988981246948242,-5.826661109924316,0.27849769592285156
40,10,attn,noising,0.8377236127853394,0.9391016960144043,0.9691205024719238,0.9491571187973022,0.8566727638244629,-0.7405123710632324,0.96875,-0.8930385112762451,0.7265625,-1.063752293586731,0.671875,-1.1569042205810547,0.6171875,-0.7438769340515137,0.828125,-6.151098251342773,5.258059740066528,-6.056878089904785,4.993125796318054,-5.36262321472168,4.205718994140625,-5.8031907081604,5.059313774108887,-4.312798976898193,3.572286605834961,-3.1582653522491455,2.2652268409729004,-3.478081703186035,2.414329409599304,-3.0852787494659424,1.9283745288848877
