,pos,pos_label,layer,mode,prob_letter0,prob_letter1,prob_letter2,prob_letter3,prob_letter4,Let0,Let0Acc,Let1,Let1Acc,Let2,Let2Acc,Let3,Let3Acc,Let4,Let4Acc,Let1Prev,Let1PrevDiff,Let2Prev,Let2PrevDiff,Let3Prev,Let3PrevDiff,Let4Prev,Let4PrevDiff,Let0Next,Let0NextDiff,Let1Next,Let1NextDiff,Let2Next,Let2NextDiff,Let3Next,Let3NextDiff
307,-3,Let2,25,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9449411034584045,0.895021915435791,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-5.590838432312012,0.0625,-6.1918487548828125,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-5.035637855529785,-0.5552005767822266,-6.027688026428223,-0.16416072845458984,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.879359722137451,0.28852128982543945
308,-3,Let2,26,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.9494382739067078,0.8584263324737549,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.1514147520065308,0.6171875,-0.7380738258361816,0.8359375,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.376558303833008,4.225143551826477,-5.7991437911987305,5.061069965362549,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.0743846893310547,1.922969937324524
309,-3,Let2,26,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9447349905967712,0.8959650993347168,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-5.559273719787598,0.0625,-6.187867164611816,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-5.023385047912598,-0.535888671875,-6.024609088897705,-0.16325807571411133,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.825953483581543,0.2666797637939453
310,-3,Let2,27,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.947678804397583,0.8587126731872559,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.1844265460968018,0.6015625,-0.7418604493141174,0.8359375,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.065952301025391,3.881525754928589,-5.8145551681518555,5.072694718837738,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.119905471801758,1.935478925704956
311,-3,Let2,27,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9443932771682739,0.8952049612998962,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-5.142032623291016,0.078125,-6.140419006347656,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-5.174802780151367,0.03277015686035156,-5.978987216949463,-0.16143178939819336,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.467878818511963,0.32584619522094727
312,-3,Let2,28,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.9480728507041931,0.858773946762085,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.2539174556732178,0.6015625,-0.736742377281189,0.828125,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.661822319030762,4.407904863357544,-5.811513423919678,5.074771046638489,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.1534829139709473,1.8995654582977295
313,-3,Let2,28,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9406548738479614,0.8952778577804565,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-4.81683349609375,0.0703125,-6.179230690002441,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-4.274338722229004,-0.5424947738647461,-6.019001007080078,-0.16022968292236328,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.211397171020508,0.3945636749267578
314,-3,Let2,29,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.9496293067932129,0.8586224317550659,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.1622729301452637,0.6171875,-0.7366799712181091,0.8359375,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.347678184509277,4.185405254364014,-5.809110641479492,5.072430670261383,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.0592379570007324,1.8969650268554688
315,-3,Let2,29,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9429758787155151,0.8952741026878357,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-5.5151872634887695,0.0703125,-6.1820197105407715,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-5.02538537979126,-0.48980188369750977,-6.022062301635742,-0.1599574089050293,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.801669120788574,0.2864818572998047
316,-3,Let2,30,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.952065110206604,0.8581067323684692,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.1350693702697754,0.625,-0.7374652624130249,0.84375,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.264274597167969,4.129205226898193,-5.804295539855957,5.066830277442932,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.0657143592834473,1.9306449890136719
317,-3,Let2,30,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9478269815444946,0.8948966860771179,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-5.572057247161865,0.078125,-6.180262565612793,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-5.161913871765137,-0.4101433753967285,-6.018511772155762,-0.16175079345703125,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.857008457183838,0.28495121002197266
318,-3,Let2,31,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.9504274129867554,0.8583571910858154,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.1543569564819336,0.6171875,-0.7371504306793213,0.84375,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.353738307952881,4.199381351470947,-5.805050849914551,5.0679004192352295,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.079550266265869,1.9251933097839355
